initially,ad.最初，开始
modesty,n.谦逊；端庄；羞怯
pertinent,a.恰当的；有关的
siren,n.汽笛，警报器
utensil,n.器皿，用具
maple,n.槭树，枫树
kilowatt,n.千瓦(特)
follower,n.契据的附面；从动件
apt,a.恰当的；聪明的
garage,n.汽车修理站；飞机库
motel,n.汽车游客旅馆
pant,vi.气喘
hitherto,ad.迄今，到目前为止
jack,n.起重器；传动装置
motorway,n.汽车道，快车路sitting-roomn.起居室
barometer,n.气压计，睛雨表
scratch,n.起跑线，起步线
count,n.起拆理由，罪状
message,n.启示，要旨，教训
enlighten,vt.启发，开导；启蒙
implore,vt.乞求，恳求，哀求
knight,n.骑士，武士；爵士
subsequently,ad.其后，其次，接着
marvel,n.奇迹；惊奇vt.惊奇
cheat,n.欺诈；骗取
periodical,n.期刊，杂志
currently,ad.普遍地；当前
universally,ad.普遍地，一般地
raisin,n.葡萄干
bushel,n.蒲式耳(容量单位)
fracture,n.破裂；裂痕vi.破裂
bankrupt,a.破产的vt.使破产
persecute,vt.迫害，残害
incline,n.坡度
tack,n.平头打vt.钉住
destructive,a.破坏(性)的，危害的
flask,n.瓶；火药筒；砂箱
terrace,n.平台，阳台，露台
tranquil,a.平静的；稳定的
civilian,n.平民a.平民的
equation,n.平衡；平均；反应式
commonplace,a.平凡的n.平常话
equilibrium,n.平衡，均衡；均衡论
frequency,n.频繁，屡次；频率
bleach,vt.漂白vi.变白
barren,a.贫瘠的；不妊的
float,n.漂浮物；浮标，木筏
flake,n.片，薄片；肌膈
adjacent,a.毗连的；紧接着的
deflection,n.偏斜，歪斜；偏差
cape,n.披肩，斗篷；海角
clash,n.碰撞声；抵触，冲突
prejudice,n.偏见，成见；损害
collide,vi.碰撞；冲突，抵触
ingredient,n.配料，成分
shell,n.炮弹，猎枪子弹
battery,n.炮兵连；兵器群
foam,n.泡沫；泡沫塑料
limp,vi.蹒跚，跛行n.跛行
bypass,n.旁通管vt.绕过
ascend,vi.攀登，登高；追溯
dispatch,vt.派遣；调度n.急件
stagger,vi.蹒跚vt.使摇晃
hover,vi.徘徊；傍徨；翱翔
range,vt.排列；把…分类
faction,n.派别，宗派，小集团
clap,n.拍手喝采声；霹雳声
drainage,n.排水；下水道
reptile,n.爬行动物；两栖动物
ohm,n.欧姆
hostess,n.女主人；旅馆女老板
overhear,vt.偶然听到；偷听
waitress,n.女侍者，女服务员
feminine,a.女性的；女子气的
blouse,n.女衬衫；童衫；罩衫
goddess,n.女神；绝世美女
coward,a.懦怯的，胆小的
radiator,n.暖气片，散热器
strive,vi.努力，奋斗，力求
mess,vt.弄脏，弄乱，搞糟
distortion,n.弄歪，歪曲；畸变
Saturn,n.农神；土星
shorten,vt.弄短，缩小，减少
milky,a.牛奶的；乳白色的
peer,vi.凝视；隐约出现
wrench,vt.拧，扭伤n.拧
nickel,n.镍；镍币
wring,vt.拧，挤，扭，榨
junior,n.年少者；晚辈
annually,ad.年年，每年
practicable,a.能实行的；适用的
capability,n.能力，才能；性能
basin,n.内海；盆地，流域
interior,n.内部a.内部的
tickle,vt.挠，胳肢；逗乐
incredible,a.难以置信的，惊人的
difficult,a.难以满足的
refugee,n.难民，流亡者
antarctic,a.南极的n.南极区
pumpkin,n.南瓜，南瓜藤
polar,a.南(北)极的；极性的
masculine,a.男性的；强壮的
endurance,n.耐久力，持久力
baron,n.男爵；贵族；巨商
intent,a.目不转睛的，热切的
pasture,n.牧场；牲畜饲养
sodium,n.钠
end,n.目标，目的
oyster,n.牡蛎；沉默寡言的人
skyscraper,n.摩天楼
magician,n.魔法师；变戏法的人
module,n.模数；模；组件
feel,vi.摸起来
ambiguous,a.模棱两可的；分歧的
destiny,n.命运，天数
doom,n.命运，毁灭vt.注定
proposition,n.命题，主题；提议
bid,vt.命令vi.报价
decidedly,ad.明确地，坚决地
destine,vt.命定，注定；预定
formulation,n.明确的表达
explicit,a.明晰的；直率的
classic,n.名著a.不朽的
sensible,a.明显的，感觉得到的
promptly,ad.敏捷地，迅速地
brightness,n.明亮，辉煌，聪明
deposition,n.免职，罢免；口供
sensitivity,n.敏感(性)；灵敏性
enchant,vt.迷住；用魔法迷惑
representation,n.描写；陈述；代
confidential,a.秘密的；亲信的苗圃，养鱼池
表nursery,n.
fascinate,vt.vi.
superstition,n.迷信，迷信行为
perplex,vt.迷惑，困惑，难住
stray,vi.迷路a.迷路的
bewilder,vt.迷惑，把…弄糊涂
hurl,vt.猛投vi.猛冲
pore,n.毛孔，气孔，细孔
jerk,vt.猛地一拉vi.急拉
fuss,n.忙乱；吹捧vi.忙乱
snap,vt.猛咬，突然折断
offensive,a.冒犯的；进攻的
ally,n.盟国，同盟者，伙伴
cartoon,n.漫画，动画片
threshold,n.门槛；入门，开端
vine,n.蔓，藤，藤本植物
charm,n.魅力；妩媚vi.迷人
expire,vi.满期，到期；断气
fair,a.美丽的
bull,n.买空的证券投机商
wharf,n.码头，停泊所
circus,n.马戏；马戏团
ass,n.驴；傻瓜，蠢笨的人
filter,vi.滤过
propeller,n.螺旋桨，推进器
spiral,a.螺旋(形)的，盘旋的
nut,n.螺帽，螺母
oval,a.卵形的n.卵形
Roman,n.罗马人，古罗马人
video,a.录象的
thesis,n.论题，论点；论文
reed,n.芦笛，牧笛
forum,n.论坛，讨论会
box,n.专席
hug,vt.搂n.紧紧拥抱
leakage,n.漏，泄漏；漏出物
stairway,n.楼梯
bridle,n.笼子；束缚vt.抑制
monopoly,n.垄断，独占，专利
exile,vt.流放n.被流放者
streamline,n.流线；流线型
flux,n.流；涨潮；流量
willow,n.柳树，柳木
track,vi.留下足迹
rascal,n.流氓，恶棍，无赖
otherwise,ad.另外；在其他方面
prevalent,a.流行的；盛行的
gramophone,n.留声机
province,n.领域，范围，职权
vicinity,n.邻近；附近地区
consul,n.领事
grove,n.林子，小树林，园林
retail,n.零售a.零售的
fission,n.裂开；分裂生殖
flexible,a.灵活的，可变通的
prey,vi.猎物vi.捕获
inspiration,n.灵感；妙想；鼓舞
martyr,n.烈士，殉难者
neighbouring,a.邻近的，接壤的
grin,vi.咧着嘴笑
expect,vt.料想，认为
blush,vi.脸红，害臊n.脸红
attachment,n.连接物，附件；爱慕
ripple,n.涟漪，细浪，波纹
quantitative,a.量的；定量的
junction,n.连接；接头；中继线
allied,a.联合的；联姻的
mitten,n.连指手套；露指手套
chestnut,n.栗子；栗树；栗色
solar,a.利用太阳光的
exceptional,a.例外的；优越的
impose,vi.利用；欺骗
utilization,n.利用，效用
stereo,n.立体声a.立体声的
cubic,a.立方体的；立方的
legislation,n.立法；法规
historian,n.历史学家；编史家
historic,a.历史的；历史性的
mechanics,n.力学，机械学；结构
intellect,n.理智，智力，才智
ideally,ad.理想地；理论上
abstract,a.理论上的n.抽象
slang,n.俚语；行话，黑话
courtesy,n.礼貌，谦恭，请安
ion,n.离子
excursion,n.离题
twilight,n.黎明，黄昏；曙光
prism,n.棱柱(体)；棱镜
grim,a.冷酷无情的，严厉的
troublesome,a.累赘的，困难的
similarity,n.类似，相似；类似点
flank,n.肋，肋腹；侧面
analogue,n.类似物；同源语
optimism,n.乐观，乐观主义
sophisticated,a.老于世故的；高级的
comprehend,vt.了解，理解，领会
straightforward,a.老实的ad.坦率地
idleness,n.懒惰；赋闲无事
wasteful,a.浪费的；破坏性的
flight,n.溃退，逃跑；外流
dust,n.垃圾，废品，灰烬
violent,a.狂暴的；歪曲的
rapture,n.狂喜，欢天喜地
furious,a.狂暴的；强烈的
shabby,a.褴褛的；破旧的
satisfaction,n.快事，乐事；愉快
fury,n.狂怒，暴怒；猛烈
rapidity,n.快，迅速；陡，险峻
snack,n.快餐，小吃
pants,n.裤子；男用短衬裤
bitterness,n.苦味，辛酸，苦难
wither,vi.枯萎vt.使衰弱
parade,vt.夸耀(才能等)
fastener,n.扣件，钮扣，揿钮
clasp,vt.扣住，扣紧，钩住
stammer,vt.口吃地说n.口吃
panic,n.恐慌，惊慌
spatial,a.空间的，占据空间的
terrorist,n.恐怖分子
suspicious,a.可疑的；猜疑的
fantastic,a.空想的；奇异的
shady,a.可疑的，靠不住的
pneumatic,a.空气的；气动的
questionable,a.可疑的，不可靠的
aerial,a.空气的；航空的
gnaw,vt.啃，咬断vi.啮
peacock,n.孔雀
portable,a.可移动的
void,a.空的；无效的
adjustable,a.可调整的，可校准的
longing,n.渴望a.显示渴望的
frightful,a.可怕的；讨厌的
grateful,a.可喜的，令人愉快的
formidable,a.可怕的；难对付的
dreadful,a.可怕的；令人敬畏的
likelihood,n.可能(性)
possibility,n.可能的事
particular,a.苛求的；特称的
monstrous,a.可怕的；极大的
appreciable,a.可估价的；可察觉的
respectable,a.可敬的；人格高尚的
whereby,ad.靠什么；靠那个
shameful,a.可耻的；不道德的
ponder,vt.考虑vi.沉思
comparable,a.可比较的；类似的
exploration,n.考察；勘探；探查
discern,vt.看出，辨出；辨别
inaugurate,vt.开始；使就职
generosity,n.慷慨，宽宏大量
initiate,vt.开始，创始；启蒙
fell,vt.砍倒(树等)；砍伐
commence,vt.开始vi.获得学位
carry,vt.刊登
reclaim,vt.开垦，开拓；回收
evolution,n.开方；(天体的)形成
unlock,vt.开…的锁；开启
start,vt.开动，着手；开设
sheriff,n.郡长；警察局长
sovereign,n.君主a.统治的
reel,vt.卷，绕
monarch,n.君主，最高统治者
mob,vi.聚众闹事
bugle,n.军号，喇叭
decisive,a.决定性的；果断的
extinct,a.绝种的；熄灭了的
polymer,n.聚合物，多聚物
govern,vt.决定，支配；控制
hurricane,n.飓风，十二级风
winding,n.卷绕着的线a.卷曲的
sting,n.剧痛；刺激vt.刺
curly,a.卷曲的；有卷毛的
gigantic,a.巨大的；巨人似的
repel,vt.拒绝；使厌恶
uphold,vt.举起；支撑；赞成
exemplify,vt.举例证明(解释)
rectangle,n.矩形，长方形
reside,vi.居住，驻扎；属于
administration,n.局(或署、处等)
induction,n.就职；归纳推理
Christ,n.救世主(耶稣基督)second-handn.旧的，第二手的
dwell,n.居住vi.凝思，细想
symposium,n.酒会；座谈会
whoever,pron.究竟是谁
rectify,vt.纠正；调整；精馏
vein,n.静脉，血管，矿脉
competitor,n.竞争者，敌手
competitive,a.竞争的，比赛的
contend,vi.竞争vt.坚决主张
alert,a.警惕的；活跃的
warning,n.警告，告诫，鉴诫
whale,n.鲸；庞然大物
selection,n.精选的东西；选择
literary,a.精通文学的
thorough,a.精心的；详尽的
refinery,n.精炼厂，提炼厂
finely,ad.精细地，美好地
vigorous,a.精力旺盛的，茁壮的
fright,n.惊吓，恐怖
dismay,n.惊慌，沮丧，灰心
astonishment,n.惊奇，惊讶
empirical,a.经验主义的
support,vt.经受，承受，忍受
longitude,n.经线，经度
economics,n.经济学；经济
notwithstanding,prep.尽管，虽然
prohibition,n.禁止；禁令，禁律
perfection,n.尽善尽美；无比精确
shortcut,n.近路，捷径
prudent,a.谨慎的；精明的
inlet,n.进口，水湾vt.引进
compact,a.紧密的vt.使紧凑
tightly,ad.紧地，牢固地
barely,ad.仅仅，勉强
metallic,a.金属的n.金属粒子
interpret,vt.解释vi.口译
tuna,n.金枪鱼
untie,vt.解开，松开；解放
henceforth,ad.今后，从今以后
tackle,vt.解决，对付n.用具
presentation,n.介绍；赠送；呈现
dissolve,vt.解除(婚约等)
mustard,n.芥子，芥末
tuberculosis,n.结核病，肺结核
version,n.解释
incorporate,vt.结合，合并，收编
construction,n.结构；作图(法)
yeast,n.酵母
abbreviation,n.节略，缩写，缩短
tutor,vt.教，指导
thrifty,a.节俭的；兴旺的
disillusion,n.觉醒vt.使觉醒
economically,ad.节约地，在经济上
horn,n.角状物，角制品
interview,vt.接见，会见，会谈
reef,n.礁，礁石，暗礁
receiver,n.接待者；收受者
coke,n.焦炭vt.&vi.炼焦
doctrine,n.教义，主义；学说
intercourse,n.交际，往来，交流
symphony,n.交响乐；交响乐团
degradation,n.降级；退化；衰变
soy,n.酱油；大豆，黄豆
parachute,n.降落伞；风散种子
oar,n.桨；划手vi.划(行)
discourse,n.讲话，演说，讲道
ginger,n.姜，生姜
inspector,n.检查员；巡官
architect,n.建筑师；创造者
reserve,n.缄默，自我克制
splash,vt.溅泼vi.泼水n.溅
challenge,n.艰巨任务；要求回避
clip,vt.剪；剪辑报刊
enterprise,n.艰巨的事业；事业心
theory,n.见解，看法，推测
firmness,n.坚固，坚定，稳固
diminish,vt.减少，减小，递减
resolute,a.坚决的，果敢的
lessen,vt.减少vi.变少
sturdy,a.坚定的；牢固的
steady,a.坚定的，扎实的
stability,n.坚定
persistence,n.坚持；持续，存留
shrill,a.尖声的vt.尖声地叫
persevere,vi.坚持，不屈不挠
hypothesis,n.假设；前提
bridge,vt.架桥于，用桥连接
insistent,a.坚持的；逼人注意的
rate,n.价格vt.对…评定
sham,n.假冒；膺品vt.假装
clamp,vt.夹住，夹紧n.夹子
presume,vt.假定，假设，揣测
fake,n.假货，膺品a.假的
beetle,n.甲虫；近视眼的人
clip,vt.夹住n.夹子，钳子
heater,n.加热的人，加热器
sandwich,vt.夹入，挤进
deepen,vt.加浓
homely,a.家庭的；家常的
heighten,vt.加高，提高；增加
fowl,n.家禽；禽肉
line,vt.加衬里于
poultry,n.家禽
stillness,n.寂静，无声
lodging,n.寄宿，住宿；住所
succession,n.继承(权)，后裔
successor,n.继承人，继任者
craft,n.技巧
quarterly,a.季度的ad.季度地
souvenir,n.纪念品，黄豆
documentary,a.纪录的，文献的
disorder,n.疾病，小病
scheme,vt.计划vi.搞阴谋
complaint,n.疾病，病痛；主诉
marginal,a.记在页边的；边缘的
forthcoming,a.即将到来的；现有的
terminal,n.计算机终端；线接头
extreme,n.极端不同的性质
geometrical,a.几何学的
polarity,n.极性；(思想等)归向
bazaar,n.集市，廉价商店
guitar,n.吉他，六弦琴
gathering,n.集会，聚会，聚集
irritate,vt.激怒；引起不愉快
set,n.集(合)
timely,a.及时的；适时的
drastic,a.激烈的；严厉的
radical,a.基本的；激进的
Christian,a.基督教的
energetic,a.积极的；精力旺盛的
elemental,a.基本的；自然力的
mechanism,n.机械装置；机制
severe,a.激烈的；简朴的dynamic(al)a.机能上的
ultimate,a.基本的，首要的
witty,a.机智的；风趣的
muscular,a.肌肉发达的，强健的
fence,n.击剑(术)vi.击剑
ingenious,a.机灵的；精巧制成的
fellowship,n.伙伴关系；联谊会
ingenuity,n.机灵；设计新颖
ham,n.火腿；(兽类的)后踝
framework,n.机构，组织，体制
Mars,n.火星；战争
stall,n.货摊，书摊；厩
piston,n.活塞
tact,n.机敏，圆滑，得体
vigour,n.活力，精力；元气
mixer,n.混合者，搅拌器
bribe,n.贿赂vt.向…行贿
engagement,n.婚约；约会，债务
response,n.回音，回签；灵敏度
cloudy,a.混浊的；模糊不清的
wield,vt.挥(剑)；行使
badge,n.徽章，像章；标志
modification,n.缓和；修改；修饰
corrupt,vt.贿赂a.腐败的
environmental,a.环境的，环境产生蝗虫；洋槐，刺槐
locust,n.
的fossil,n.a.
wasp,n.黄蜂，蚂蜂
pregnant,a.怀孕的；意义深长的
desolate,a.荒芜的；孤独的
glider,n.滑翔机；滑翔导弹
royalty,n.皇家，王族，皇族
slide,n.滑板，滑座
illusion,n.幻想；错觉；假象
pulley,n.滑轮，滑车，皮带轮
correlate,n.互相关联的事物
ruby,n.红宝石
granite,a.花岗岩，花岗石
outcome,n.后果，成果
walnut,n.胡桃，核桃树
hit,n.轰动一时的人(或事)
arc,n.弧，弓形物；弧光
transverse,a.横切的n.横轴
exclamation,n.呼喊，惊叫；感叹
traverse,vt.横越，横切，横断
harmonious,a.和谐的，协调的
monk,n.和尚，僧侣，修道士
bed,n.河床，(湖)底，矿床
synthesis,n.合成；综合，综合物
cooperative,a.合作的n.合作社
applause,n.喝彩；夸奖，称赞
hinge,n.合页，折叶，铰链
applaud,vt.喝彩；欢呼vi.欢呼
proper,a.合乎体统的，正派的
pal,n.好朋友；同谋
composite,a.合成的n.合成物
romantic,a.好幻想的
hospitality,n.好客，殷勤；宜人
howl,n.嚎叫；哀号vi.吠
hurrah,int.好哇，万岁，乌拉
log,n.航海日志；飞行日志
aerospace,n.航空和宇宙航行空间
pedestrian,n.行人，步行者
hesitate,vi.含糊，支吾；口吃
move,n.行动，步骤
pest,n.害虫；害人虫
turtle,n.海龟，玳瑁；甲鱼肉
strait,n.海峡
seaport,n.海港，港口，港市
custom,n.海关，关税
surplus,n.过剩，剩余(物资)
cable,n.海底电报
excess,n.过度行为，暴行
overestimate,vt.过高估计
orchard,n.果园
pirate,n.海盗；每盗船
peel,n.果皮，蔬菜皮
seaside,n.海滨(胜地)；海边
stone,n.果核，(水果的)硬核
excessively,ad.过分，极端地
slap,vt.掴，拍n.巴掌，拍
boiler,n.锅炉；热水贮槽
define,vt.规定；立(界限)
inland,a.国内的；内地的
regulation,n.规章，规则；调节
salmon,n.鲑，大马哈鱼
provision,n.规定，条款，条项
roller,n.滚柱，滚筒，辊
replacement,n.归还；取代；置换
valuable,n.贵重物品，财宝
spacious,a.广阔的，广大的
silicon,n.硅(旧名矽)
radial,a.光线的；放射的
regularity,n.规则性；整齐
amplitude,n.广大；充足；振幅
photoelectric,a.光电的
orchestra,n.管弦乐队的全部乐器
optical,a.光的；光学的
blast,n.管乐器的声音
shrub,n.灌木，灌木丛
pipe,n.管乐器
irrigation,n.灌溉；冲洗法
coffin,n.棺材，柩
inertia,n.惯性，惯量；无力
bureaucracy,n.官僚主义；官僚机构
monster,n.怪物；畸形的动植物
obstinate,a.固执的；顽强的
client,n.顾客；诉讼委托人
inherent,a.固有的，生来的
fixture,n.固定；定期存款
pluck,vt.鼓起(勇气)，振作
agitation,n.鼓动，煸动；搅动
antique,a.古代的n.古物
skeleton,n.骨骼，骷髅；骨架
thigh,n.股，大腿
constitute,vt.构成，组成
cereal,n.谷类，五谷，禾谷
assessment,n.估定；查定；估计数
hound,n.狗；角鲨；卑鄙的人
tribute,n.贡物；献礼，贡献
gutter,n.沟，边沟；檐槽
number,vt.共计，达…之数
arch,n.拱门vt.用拱连接
commonwealth,n.共和国；联邦
impartial,a.公正的，无偏见的
vault,n.拱顶；地下室，地窖
duke,n.公爵，君主；手
consolidate,vt.巩固vi.合并
rooster,n.公鸡；狂妄自负的人
mercury,n.汞，水银；水银柱
studio,n.工作室；播音室
convention,n.公约，(换俘等)协定
implement,n.工具，服装vt.贯彻
earnings,n.工资，收入；收益
combat,vt.跟…战斗vi.格斗
impart,vt.给予，传递；告诉
workpiece,n.工(作)件
energize,vt.给与…能量；电压
reveal,vt.告诉，揭示，泄露
flavour,vt.给…调味
dove,n.鸽子，斑鸠
insulator,n.隔离者；绝缘体
plateau,n.高原；平稳时期
vaccinate,vt.给…种牛痘
tower,vi.高耸，屹立；翱翔
elevation,n.高度；标高；隆肿
lofty,a.高耸的；高尚的
intervene,vi.干涉，干预；播进
lattice,n.格子；点阵，网络
olive,n.橄榄，橄榄树
dry,a.干巴巴的，枯燥的
perception,n.感觉；概念；理解力
Thanksgiving,n.感恩节
sentiment,n.感情；情操；情绪
sensation,n.感觉，知觉；轰动
outline,vt.概述，概括
conception,n.概念，观念，想法
notion,n.概念，意念；看法
chill,vi.感到寒冷；冷淬
summary,a.概括的；速决的
generalize,vt.概括出vi.形成概念
mend,vt.改正，修正；改进
impress,vt.盖印，在…打记号by-productn.副产品
complication,n.复杂，混乱；并发症
duplicate,n.复制品vt.复制
satellite,n.附属物
complexity,n.复杂(性)
appendix,n.附录，附属物；阑尾
extra,n.附加物；额外的人手
emerge,vi.浮现，出现；显露
charge,n.负荷；充电vt.装满
coach,vt.辅导，指导，训练
incidentally,ad.附带地；顺便提及
obedience,n.服从，顺从；管辖
negative,a.负的，阴性的
maintenance,n.扶养；坚持
corrosion,n.腐蚀，侵蚀；锈
veto,n.否决，否决权，禁止
erosion,n.腐蚀，侵蚀；糜烂
denial,n.否定；拒绝相信
subsidiary,a.辅助的，补充的
Buddhism,n.佛教，释教
answer,vi.符合，适合
dedicate,vt.奉献；献身
obedient,n.服从的，顺从的
pineapple,n.凤梨，波萝
flatter,vt.奉承，阿谀，谄媚
seam,n.缝口；接缝；骨缝
landscape,n.风景，景色，景致
windmill,n.风车
abundance,n.丰富，充裕
indignation,n.愤怒，愤慨，义愤
plump,vt.丰满的；鼓起的
molecular,a.分子的；克分子的
shatter,vt.粉碎，破碎；毁坏
limb,n.分支，突出物
offset,n.分支，抵销vt.抵销
fraction,n.分数；分馏的部分analytic(al)a.分析的；分解的
distract,vt.分散(心思)；打扰
installment,n.分期付款
split,n.分裂，分化；派系
detach,vt.分开；派遣(军队)
interface,n.分界面
partition,n.分开，分割；融墙
relay,vt.分程传递；使接替
diverge,vi.分岔；分歧
litter,n.废物，杂乱vi.乱扔
abolish,vt.废除，取消
gangster,n.匪徒，歹徒，暴徒
fly,v.飞跑，逃跑，消失
indulge,vt.放纵(感情)vi.纵情
herd,vt.放牧vi.成群
extraordinarily,ad.非常地，特别地
aviation,n.飞行
pattern,vt.仿制，仿造，模仿
imitation,n.仿制品，伪制物
reproduce,vt.仿造
magnify,vt.放大，扩大
handicap,vt.妨碍，使不利
hamper,vt.妨碍，阻碍，牵制
estate,n.房地产；财产，产业
handy,a.方便的；便于使用的
reactor,n.反应器；反应堆
blunder,vi.犯大错n.大错
mirror,n.反映，借鉴
offence,n.犯罪，犯规；冒犯
echo,vt.反射(声音等)
contrary,n.反对命题
contradict,vt.反驳，否认
propagation,n.繁殖；传播；蔓延
propagate,vt.繁殖；传播，普及
decree,n.法令，政令；教令
toss,vi.翻来复去
flannel,n.法兰绒；法兰绒衣服
valve,n.阀，阀门；电子管
originate,vi.发源vt.首创
spokesman,n.发言人，代言人
outlet,n.发泄(感情等)的方法
incidence,n.发生，影响；入射
generate,vt.发生，产生；生成
flame,vi.发火焰vt.点燃
invoice,n.发票，发货清单
detector,n.发觉者，探测器
luminous,a.发光的；光明的
exert,vt.发挥(威力)，施加
beam,vi.发光，发热；微笑
motive,a.发动的，运动的
dynamo,n.发电机
rattle,vt.发出格格声
dioxide,n.二氧化物
offspring,n.儿女，子孙，后代
bait,n.饵；引诱物
youngster,n.儿童，少年，年轻人
whereas,conj.而，却，反之
malice,n.恶意；蓄意犯罪
subsequent,a.尔后的
nightmare,n.恶梦；经常的恐惧
spite,n.恶意，怨恨
yoke,n.轭，牛轭；枷锁
deprive,vt.夺去；使(人)失去
mountainous,a.多山的；山一般的
windy,a.多风的，刮风的
versatile,a.多方面的；通用的
stew,vt.炖vi.炖着n.炖肉
mop,n.墩布，洗碗刷
halve,vt.对分；平摊
provoke,vt.对…挑衅；激发
symmetry,n.对称(性)，匀称
symmetrical,a.对称的，匀称的
resent,vt.对…不满，怨恨
assert,vt.断言，宣称；维护
affirm,vt.断言，批准；证实
shortage,n.短缺，不足额
alignment,n.队列；结盟，联合
jealousy,n.妒忌，嫉妒，猜忌
cuckoo,n.杜鹃，布谷鸟
gamble,n.赌博vt.冒…的险
jam,n.堵塞vt.使…堵塞
ferry,n.渡船；渡口vt.运送
solo,n.独唱，独奏；独唱曲
linger,vi.逗留，徘徊；拖延
distinct,a.独特的
dictator,n.独裁者，专政者
fighter,n.斗争者；战斗机
champion,n.斗士；提倡者
insight,n.洞察力，洞悉，见识
jelly,n.冻，果子冻；胶状物
tease,vt.逗乐，戏弄；强求
cavity,n.洞，穴，空腔
grease,n.动物脂，脂肪
disturbance,n.动乱；干扰；侵犯
mobilize,vt.动员vi.动员起来
kinetic,a.动力(学)的；活动的
location,n.定位，测位；测量
theorem,n.定理；原理，原则
subscribe,vi.订购，认购；预订
orient,n.东方；亚洲，远东
summit,n.顶点，最高点；极度
pressure,n.电压；大气压力
sculpture,n.雕刻(术)；雕刻品
capacitance,n.电容，电容量
electronics,n.电子学
electrode,n.电极；电焊条
capacitor,n.电容器
electrician,n.电工，电气技师
telex,n.电传，用户电报first-ratea.第一流的，优秀的
kindle,vt.点燃vi.着火
basement,n.地下室；地窖；底层
geology,n.地质学；(某地)地质
mortgage,n.抵押vt.抵押
geographical,a.地理的；地区(性)的
hostile,a.敌对的；不友好的
magistrate,n.地方行政长官
underestimate,vt.低估，看轻
whisper,vt.低声地讲，私下说
murmur,n.低沉连续的声音
enroll,vt.登记，招收vi.参军
burner,n.灯头，煤气头
equivalent,a.等面(体)积的
morality,n.道德，美德，品行
clatter,n.得得声，卡嗒声
triumphant,a.得胜的；得意洋洋的
theft,n.盗窃，偷窃(行为)
attendance,n.到场；出席人数
between,ad.当中，中间
cartridge,n.弹药筒，子弹；软片
yolk,n.蛋黄，卵黄
detain,vt.耽搁；扣押，拘留
algebra,n.代数学
simplicity,n.单纯，质朴
fill,vt.担任(职务)；填补
attorney,n.代理人；辩护律师
simple,a.单纯的；迟钝的
deputy,n.代理人a.副的
jug,n.带柄水罐，大壶
delegate,n.代表，委员，特派员
representative,a.代表性的；代议
massacre,n.大屠杀，残杀
gorilla,n.大猩猩(产于非洲);高大凶恶的人
embassy,n.大使馆；大使的职务
magnitude,n.大小；重大；星等
ambassador,n.大使，使节
stride,vi.大踏步走n.大步
mansion,n.大厦，大楼；宅第
continental,a.大陆的，大陆性的
multitude,n.大批，大群；大量
barley,n.大麦
infinity,n.大量，大宗；无穷大
steak,n.大块牛肉；牛排
butt,n.大酒桶，桶
largely,ad.大规模地
prairie,n.大草原，牧场
widely,ad.大大地
smash,vt.打碎，打破，粉碎
sneeze,vi.打喷嚏
lighter,n.打火机，引燃器
snore,vi.打鼾，打呼噜
thresh,vt.打谷，脱粒；推敲
forge,vt.打(铁等)，锻造
passport,n.达到目的的手段
inaccessible,a.达不到的，难接近的
latent,a.存在但看不见的
frustrate,vt.挫败；使无效
frail,a.脆弱的；意志薄弱的
fragile,a.脆的；体质弱的
catalyst,n.催化剂；刺激因素
crisp,a.脆的；卷曲的
promotion,n.促进；提升；创立
reckless,a.粗心大意的；鲁莽的
follow,vt.从事(职业)，经营
vulgar,a.粗俗的，庸俗的
overflow,vt.从…中溢出
massive,a.粗大的；大而重的
smart,vi.刺疼，扎疼，剧痛
harsh,a.粗糙的；严厉的
thereafter,ad.此后，以后
jungle,n.丛林，密林，莽丛
prick,vt.刺(穿)n.刺孔
porcelain,n.瓷a.瓷的，瓷制的
initial,a.词首的
magnetism,n.磁；魅力；催眠术
glossary,n.词汇表；术语汇编
vocabulary,n.词汇表，词汇汇编
sheer,a.纯粹的；全然的
stem,n.词干；(手表的)转柄
perpendicular,a.垂直的
poke,vt.戳，刺；伸(头等)
author,n.创造者，创始人
lipstick,n.唇膏，口红
innovation,n.创新，改革，新设施
stainless,a.纯洁的；不锈的
initiative,a.创始的n.第一步
puff,vi.喘气vt.喷(烟等)
infectious,a.传染的；感染性的
shipwreck,n.船舶失事
romance,n.传奇；浪漫文学
report,n.传说，议论
herald,ad.传令官；通报者
circular,n.传单，通报，通函
leaflet,n.传单，活页；广告
sensor,n.传感器，灵敏元件
missionary,n.传教士
convey,vt.传达；传播；转让
pierce,vt.穿透，戳穿，洞察
penetration,n.穿入；渗透，侵入
antenna,n.触角；天线
penalty,n.处罚，刑罚；罚款
transaction,n.处理；交易；和解
virgin,n.处女a.处女的
exclusive,a.除外的；孤傲的
notorious,a.臭名昭著的
scandal,n.丑事，丑闻；耻辱
specimen,n.抽样，样品
extraction,n.抽出；提取法；摘要
equator,n.赤道，天球赤道
adore,vt.崇拜；很喜欢
worship,vt.崇拜vi.做礼拜
punch,vt.冲压n.冲压机
gear,n.齿轮，传动装置
strife,n.冲突，竞争
bug,n.虫子；臭虫
persist,vi.持续，存留
proceeding,n.程序，行动，事项
acknowledge,vt.承认；告知收到
breakfast,vi.吃早餐
shoulder,vt.承担，挑起，肩负
dine,vi.吃饭vt.宴请
offer,vt.呈现出vi.出现
length,n.程度，范围
membership,n.成员资格；会员人数
